time, Quad.Est.E.Pos, Quad.Est.S.Z
0.924992,0.068449,0.316284
0.929992,0.068819,0.316405
0.934992,0.069338,0.316589
0.939991,0.069659,0.316712
0.944991,0.070180,0.316897
0.949991,0.070518,0.317021
0.954991,0.070996,0.317209
0.959991,0.071259,0.317334
0.964991,0.071734,0.317524
0.969991,0.072041,0.317651
0.974991,0.072514,0.317843
0.979991,0.072849,0.317971
0.984991,0.073321,0.318165
0.989991,0.073525,0.318295
0.994991,0.073948,0.318491
0.999991,0.074441,0.318622
1.004991,0.084658,0.317490
1.009991,0.085037,0.317609
1.014991,0.085573,0.317789
1.019992,0.085858,0.317909
1.024992,0.086371,0.318090
1.029992,0.086701,0.318212
1.034992,0.087219,0.318395
1.039993,0.087556,0.318518
1.044993,0.088105,0.318703
1.049993,0.088465,0.318827
1.054993,0.088995,0.319014
1.059994,0.089362,0.319140
1.064994,0.089900,0.319329
1.069994,0.090214,0.319456
1.074994,0.090773,0.319647
1.079994,0.091183,0.319775
1.084995,0.091763,0.319968
1.089995,0.092084,0.320098
1.094995,0.092634,0.320293
1.099995,0.092950,0.320424
1.104996,0.094984,0.319288
1.109996,0.095097,0.319407
1.114996,0.095432,0.319586
1.119996,0.095690,0.319706
1.124997,0.096072,0.319887
1.129997,0.096326,0.320009
1.134997,0.096744,0.320192
1.139997,0.097029,0.320314
1.144997,0.097417,0.320499
1.149998,0.097673,0.320623
1.154998,0.098023,0.320810
1.159998,0.098216,0.320935
1.164998,0.098531,0.321124
1.169999,0.098718,0.321251
1.174999,0.099052,0.321441
1.179999,0.099246,0.321569
1.184999,0.099548,0.321762
1.190000,0.099583,0.321891
1.195000,0.099884,0.322085
1.200000,0.100067,0.322216
1.205000,0.097768,0.321076
1.210001,0.098257,0.321195
1.215001,0.098716,0.321374
1.220001,0.099020,0.321494
1.225001,0.099480,0.321675
1.230001,0.099827,0.321796
1.235002,0.100232,0.321979
1.240002,0.100477,0.322102
1.245002,0.100945,0.322286
1.250002,0.101266,0.322410
1.255003,0.101782,0.322596
1.260003,0.102176,0.322721
1.265003,0.102697,0.322909
1.270003,0.102921,0.323036
1.275004,0.103422,0.323226
1.280004,0.103683,0.323353
1.285004,0.104152,0.323545
1.290004,0.104399,0.323674
1.295004,0.104846,0.323867
1.300005,0.105089,0.323997
1.305005,0.091272,0.322856
1.310005,0.091168,0.322974
1.315005,0.091258,0.323153
1.320006,0.091363,0.323273
1.325006,0.091408,0.323454
1.330006,0.091481,0.323575
1.335006,0.091465,0.323757
1.340007,0.091469,0.323879
1.345007,0.091398,0.324063
1.350007,0.091357,0.324187
1.355007,0.091294,0.324373
1.360008,0.091303,0.324497
1.365008,0.091248,0.324685
1.370008,0.091275,0.324811
1.375008,0.091194,0.325000
1.380008,0.091183,0.325127
1.385009,0.091101,0.325318
1.390009,0.091354,0.325446
1.395009,0.091327,0.325639
1.400009,0.091461,0.325769
1.405010,0.078426,0.324627
1.410010,0.078285,0.324745
1.415010,0.078271,0.324923
1.420010,0.078359,0.325043
1.425011,0.078332,0.325223
1.430011,0.078179,0.325344
1.435011,0.078161,0.325526
1.440011,0.078132,0.325648
1.445011,0.078117,0.325831
1.450012,0.078097,0.325954
1.455012,0.078061,0.326139
1.460012,0.078034,0.326264
1.465012,0.077987,0.326451
1.470013,0.077809,0.326576
1.475013,0.077699,0.326765
1.480013,0.077527,0.326891
1.485013,0.077393,0.327082
1.490014,0.077385,0.327209
1.495014,0.077248,0.327402
1.500014,0.077222,0.327530
1.505014,0.084774,0.326388
1.510015,0.084896,0.326507
1.515015,0.085078,0.326685
1.520015,0.085306,0.326804
1.525015,0.085441,0.326983
1.530015,0.085469,0.327104
1.535016,0.085602,0.327285
1.540016,0.085693,0.327407
1.545016,0.085864,0.327590
1.550016,0.085978,0.327712
1.555017,0.086139,0.327897
1.560017,0.086115,0.328021
1.565017,0.086197,0.328207
1.570017,0.086355,0.328332
1.575018,0.086452,0.328520
1.580018,0.086386,0.328646
1.585018,0.086439,0.328836
1.590018,0.086398,0.328963
1.595019,0.086435,0.329154
1.600019,0.086641,0.329283
1.605019,0.130660,0.328141
1.610019,0.131036,0.328259
1.615019,0.131631,0.328437
1.620020,0.132030,0.328555
1.625020,0.132632,0.328735
1.630020,0.133046,0.328855
1.635020,0.133649,0.329035
1.640021,0.134033,0.329156
1.645021,0.134573,0.329339
1.650021,0.134923,0.329461
1.655021,0.135460,0.329645
1.660022,0.135733,0.329768
1.665022,0.136191,0.329954
1.670022,0.136474,0.330078
1.675022,0.136907,0.330266
1.680022,0.137278,0.330391
1.685023,0.137694,0.330580
1.690023,0.137883,0.330707
1.695023,0.138247,0.330898
1.700023,0.138479,0.331025
1.705024,0.118276,0.329885
1.710024,0.118541,0.330003
1.715024,0.118927,0.330180
1.720024,0.119208,0.330298
1.725025,0.119603,0.330477
1.730025,0.119909,0.330596
1.735025,0.120304,0.330776
1.740025,0.120566,0.330897
1.745026,0.120946,0.331079
1.750026,0.121177,0.331200
1.755026,0.121518,0.331384
1.760026,0.121734,0.331507
1.765026,0.122075,0.331692
1.770027,0.122328,0.331816
1.775027,0.122687,0.332002
1.780027,0.122928,0.332127
1.785027,0.123278,0.332315
1.790028,0.123607,0.332442
1.795028,0.123961,0.332632
1.800028,0.124103,0.332759
1.805028,0.130221,0.331621
1.810029,0.130365,0.331738
1.815029,0.130754,0.331914
1.820029,0.130969,0.332032
1.825029,0.131301,0.332210
1.830029,0.131490,0.332329
1.835030,0.131783,0.332509
1.840030,0.131980,0.332629
1.845030,0.132266,0.332810
1.850030,0.132443,0.332931
1.855031,0.132733,0.333114
1.860031,0.132973,0.333236
1.865031,0.133325,0.333420
1.870031,0.133516,0.333544
1.875032,0.133840,0.333730
1.880032,0.133928,0.333854
1.885032,0.134220,0.334042
1.890032,0.134291,0.334167
1.895033,0.134612,0.334356
1.900033,0.134754,0.334483
1.905033,0.118098,0.333347
1.910033,0.117862,0.333464
1.915033,0.117878,0.333639
1.920034,0.117899,0.333757
1.925034,0.117929,0.333934
1.930034,0.117928,0.334053
1.935034,0.117936,0.334232
1.940035,0.117943,0.334351
1.945035,0.117954,0.334532
1.950035,0.117979,0.334653
1.955035,0.117978,0.334835
1.960036,0.117930,0.334956
1.965036,0.117927,0.335140
1.970036,0.117885,0.335263
1.975036,0.117861,0.335448
1.980036,0.117641,0.335572
1.985037,0.117561,0.335759
1.990037,0.117770,0.335884
1.995037,0.117729,0.336072
2.000037,0.117433,0.336198
2.005037,0.118530,0.335065
2.010037,0.118544,0.335181
2.015036,0.118300,0.335356
2.020036,0.118094,0.335473
2.025036,0.117828,0.335650
2.030035,0.117649,0.335768
2.035035,0.117359,0.335946
2.040035,0.117161,0.336066
2.045034,0.116837,0.336245
2.050034,0.116624,0.336365
2.055033,0.116294,0.336547
2.060033,0.116031,0.336668
2.065033,0.115687,0.336851
2.070032,0.115564,0.336973
2.075032,0.115258,0.337158
2.080032,0.115125,0.337281
2.085031,0.114859,0.337467
2.090031,0.114562,0.337592
2.095031,0.114292,0.337779
2.100030,0.114192,0.337905
2.105030,0.127613,0.336774
2.110029,0.127836,0.336890
2.115029,0.128154,0.337064
2.120029,0.128449,0.337181
2.125028,0.128772,0.337357
2.130028,0.128993,0.337475
2.135028,0.129268,0.337652
2.140027,0.129442,0.337771
2.145027,0.129783,0.337950
2.150027,0.130019,0.338070
2.155026,0.130382,0.338250
2.160026,0.130625,0.338371
2.165025,0.130995,0.338553
2.170025,0.131368,0.338675
2.175025,0.131811,0.338859
2.180024,0.131930,0.338982
2.185024,0.132310,0.339167
2.190024,0.132420,0.339291
2.195023,0.132761,0.339478
2.200023,0.133181,0.339603
2.205023,0.129522,0.338475
2.210022,0.129660,0.338590
2.215022,0.129994,0.338764
2.220021,0.130244,0.338880
2.225021,0.130565,0.339055
2.230021,0.130724,0.339173
2.235020,0.131117,0.339349
2.240020,0.131389,0.339468
2.245020,0.131757,0.339646
2.250019,0.132033,0.339765
2.255019,0.132473,0.339945
2.260019,0.132902,0.340065
2.265018,0.133446,0.340247
2.270018,0.133799,0.340368
2.275017,0.134339,0.340551
2.280017,0.134565,0.340673
2.285017,0.135082,0.340858
2.290016,0.135357,0.340981
2.295016,0.135873,0.341167
2.300016,0.136370,0.341292
2.305015,0.133497,0.340167
2.310015,0.133972,0.340282
2.315015,0.134306,0.340455
2.320014,0.134618,0.340571
2.325014,0.134904,0.340746
2.330014,0.135084,0.340862
2.335013,0.135371,0.341038
2.340013,0.135578,0.341156
2.345012,0.135846,0.341334
2.350012,0.135982,0.341452
2.355012,0.136187,0.341631
2.360011,0.136350,0.341751
2.365011,0.136575,0.341932
2.370011,0.136628,0.342053
2.375010,0.136811,0.342235
2.380010,0.137056,0.342357
2.385010,0.137276,0.342540
2.390009,0.137970,0.342663
2.395009,0.138309,0.342849
2.400008,0.138636,0.342973
2.405008,0.160483,0.341852
2.410008,0.160734,0.341966
2.415007,0.161241,0.342138
2.420007,0.161646,0.342254
2.425007,0.162160,0.342427
2.430006,0.162397,0.342544
2.435006,0.162898,0.342719
2.440006,0.163225,0.342836
2.445005,0.163738,0.343013
2.450005,0.164038,0.343131
2.455004,0.164519,0.343310
2.460004,0.164884,0.343429
2.465004,0.165389,0.343609
2.470003,0.165791,0.343729
2.475003,0.166375,0.343910
2.480003,0.166796,0.344032
2.485002,0.167391,0.344215
